date,prix,lag_1,lag_2,lag_4,lag_8,lag_12,MA4,MA12,MA26,std_4,mois,trimestre,semaine,variation_pct
2016-08-04,41.71,40.83,41.92,44.75,48.01,48.19,42.35,46.53333333333334,42.93846153846153,1.7900651757220765,8,3,31,2.1552779818760692
2016-08-11,46.79,41.71,40.83,44.94,49.13,49.56,42.8125,46.3025,43.558846153846154,2.6933792281567412,8,3,32,12.17933349316711
2016-08-18,46.77,46.79,41.71,41.92,49.88,49.01,44.025,46.115833333333335,44.12115384615384,3.201431971269439,8,3,33,-0.04274417610600212
2016-08-25,44.7,46.77,46.79,40.83,47.43,51.23,44.9925,45.571666666666665,44.50730769230769,2.397976577589124,8,3,34,-4.425914047466328
2016-09-01,45.5,44.7,46.77,41.71,44.75,48.01,45.94,45.362500000000004,44.78461538461538,1.023490758792012,9,3,35,1.7897091722594904
2016-09-08,43.58,45.5,44.7,46.79,44.94,49.13,45.1375,44.9,44.98153846153846,1.343338502884774,9,3,36,-4.2197802197802226
2016-09-15,45.34,43.58,45.5,46.77,41.92,49.88,44.78,44.52166666666667,45.195,0.8714738473792882,9,3,37,4.038549793483259
2016-09-22,47.05,45.34,43.58,44.7,40.83,47.43,45.3675,44.49,45.53076923076923,1.419421830652428,9,3,38,3.7715041905602043
2016-09-29,49.83,47.05,45.34,45.5,41.71,44.75,46.45,44.913333333333334,45.99538461538461,2.661666144854754,9,3,39,5.908607863974491
2016-10-06,50.18,49.83,47.05,43.58,46.79,44.94,48.099999999999994,45.35,46.31923076923077,2.312242778487132,10,4,40,0.7023881196066561
2016-10-13,51.6,50.18,49.83,45.34,46.77,41.92,49.665,46.156666666666666,46.66423076923077,1.9039345226834465,10,4,41,2.8298126743722563
2016-10-20,49.18,51.6,50.18,47.05,44.7,40.83,50.197500000000005,46.85249999999999,46.81230769230769,1.0226884504411984,10,4,42,-4.689922480620156
2016-10-27,45.34,49.18,51.6,49.83,45.5,41.71,49.075,47.155,46.87230769230769,2.680665340296293,10,4,43,-7.808052053680347
2016-11-03,45.27,45.34,49.18,50.18,43.58,46.79,47.8475,47.02833333333333,46.83538461538462,3.0977343871501524,11,4,44,-0.15438906043229172
2016-11-10,45.57,45.27,45.34,51.6,45.34,46.77,46.34,46.928333333333335,46.73461538461539,1.8976652321557053,11,4,45,0.6626905235254998
2016-11-17,47.96,45.57,45.27,49.18,47.05,44.7,46.035,47.20000000000001,46.67307692307692,1.2897157309523326,11,4,46,5.244678516567913
2016-11-24,49.44,47.96,45.57,45.34,49.83,45.5,47.06,47.528333333333336,46.68961538461539,1.9915320735552349,11,4,47,3.0859049207673017
2016-12-01,49.77,49.44,47.96,45.27,50.18,43.58,48.185,48.04416666666666,46.63346153846154,1.9127728563525759,12,4,48,0.6674757281553534
2016-12-08,51.04,49.77,49.44,45.57,51.6,45.34,49.5525,48.51916666666667,46.75,1.2660535796978833,12,4,49,2.551737994775971
2016-12-15,52.49,51.04,49.77,47.96,49.18,47.05,50.685,48.972500000000004,46.87923076923077,1.386999158855478,12,4,50,2.840909090909105
2016-12-22,54.06,52.49,51.04,49.44,45.34,49.83,51.84,49.324999999999996,47.04,1.8507475966932314,12,4,51,2.9910459135073397
2016-12-29,53.26,54.06,52.49,49.77,45.27,50.18,52.7125,49.58166666666667,47.26423076923077,1.2861149507978473,12,4,52,-1.4798372179060326
2017-01-05,52.25,53.26,54.06,51.04,45.57,51.6,53.015,49.63583333333333,47.552692307692304,0.8191255500017922,1,1,1,-1.8963574915508818
2017-01-12,51.08,52.25,53.26,52.49,47.96,49.18,52.6625,49.794166666666676,47.78884615384615,1.2889886216199722,1,1,2,-2.239234449760774
2017-01-19,52.75,51.08,52.25,54.06,49.44,45.34,52.335,50.41166666666667,48.20538461538461,0.9327557736794951,1,1,3,3.269381362568513
2017-01-26,53.88,52.75,51.08,53.26,49.77,45.27,52.49,51.12916666666667,48.707307692307694,1.1612349747857944,1,1,4,2.1421800947867276
2017-02-02,52.34,53.88,52.75,52.25,51.04,45.57,52.5125,51.69333333333333,49.11615384615384,1.1558943146610607,2,1,5,-2.8582034149962854
2017-02-09,53.11,52.34,53.88,51.08,52.49,47.96,53.019999999999996,52.122499999999995,49.35923076923078,0.6539622822959578,2,1,6,1.4711501719526066
2017-02-16,53.59,53.11,52.34,52.75,54.06,49.44,53.230000000000004,52.468333333333334,49.621538461538464,0.6729536883513824,2,1,7,0.9037845980041537
2017-02-23,53.83,53.59,53.11,53.88,53.26,49.77,53.2175,52.80666666666667,49.972692307692306,0.6571339285100581,2,1,8,0.44784474715431344
2017-03-02,50.28,53.83,53.59,52.34,52.25,51.04,52.7025,52.74333333333333,50.15653846153847,1.6425057077523604,3,1,9,-6.594835593535198
2017-03-09,48.86,50.28,53.83,53.11,51.08,52.49,51.64,52.44083333333334,50.35961538461539,2.46147652165642,3,1,10,-2.824184566428012
2017-03-16,48.04,48.86,50.28,53.59,52.75,54.06,50.252500000000005,51.939166666666665,50.46346153846154,2.558220410102662,3,1,11,-1.678264428980758
2017-03-23,49.51,48.04,48.86,53.83,53.88,53.26,49.1725,51.626666666666665,50.558076923076925,0.9523085984416348,3,1,12,3.059950041631976
2017-03-30,51.15,49.51,48.04,50.28,52.34,52.25,49.39,51.535,50.60884615384616,1.3185092592264416,3,1,13,3.3124621288628475
2017-04-06,53.11,51.15,49.51,48.86,53.11,51.08,50.45249999999999,51.70416666666666,50.72153846153846,2.180005733937219,4,2,14,3.8318670576735103
2017-04-13,50.44,53.11,51.15,48.04,53.59,52.75,51.052499999999995,51.51166666666666,50.67692307692308,1.527227880834791,4,2,15,-5.027301826398045
2017-04-20,49.62,50.44,53.11,49.51,53.83,53.88,51.08,51.156666666666666,50.69384615384615,1.4907492523333565,4,2,16,-1.6256938937351362
2017-04-27,47.82,49.62,50.44,51.15,50.28,52.34,50.247499999999995,50.779999999999994,50.78923076923077,2.1998087038041514,4,2,17,-3.6275695284159526
2017-05-04,47.33,47.82,49.62,53.11,48.86,53.11,48.8025,50.29833333333334,50.86846153846154,1.470065191297959,5,2,18,-1.0246758678377321
2017-05-11,49.07,47.33,47.82,50.44,48.04,53.59,48.46,49.92166666666666,51.00307692307692,1.065238627412933,5,2,19,3.6763152334671423
2017-05-18,51.36,49.07,47.33,49.62,49.51,53.83,48.894999999999996,49.71583333333333,51.13384615384616,1.7992313173498784,5,2,20,4.666802527002245
2017-05-25,48.32,51.36,49.07,47.82,51.15,50.28,49.02,49.5525,51.090769230769226,1.715051019649049,5,2,21,-5.919003115264799
2017-06-01,45.72,48.32,51.36,47.33,53.11,48.86,48.6175,49.29083333333333,50.934999999999995,2.324512493692515,6,2,22,-5.3807947019867575
2017-06-08,44.73,45.72,48.32,49.07,50.44,48.04,47.5325,49.01500000000001,50.69230769230769,2.966989214675258,6,2,23,-2.1653543307086687
2017-06-15,42.53,44.73,45.72,51.36,49.62,49.51,45.324999999999996,48.43333333333334,50.309230769230766,2.400840130731887,6,2,24,-4.918399284596453
2017-06-22,44.74,42.53,44.73,48.32,47.82,51.15,44.43,47.89916666666667,49.95076923076923,1.3490984644072737,6,2,25,5.196332000940518
2017-06-29,45.13,44.74,42.53,45.72,47.33,53.11,44.2825,47.234166666666674,49.63807692307692,1.1830856548306519,6,2,26,0.871703173893601
2017-07-06,45.49,45.13,44.74,44.73,49.07,50.44,44.472500000000004,46.821666666666665,49.37807692307692,1.3307234874305778,7,3,27,0.7976955461998614
2017-07-13,47.12,45.49,45.13,42.53,51.36,49.62,45.620000000000005,46.61333333333334,49.22576923076924,1.0458489374662767,7,3,28,3.583205100021969
2017-07-20,48.75,47.12,45.49,44.74,48.32,47.82,46.6225,46.69083333333333,49.071923076923085,1.6617134730951553,7,3,29,3.4592529711375164
2017-07-27,49.59,48.75,47.12,45.13,45.72,47.33,47.7375,46.87916666666667,48.90692307692307,1.815624318703054,7,3,30,1.7230769230769383
2017-08-03,49.56,49.59,48.75,45.49,44.73,49.07,48.754999999999995,46.919999999999995,48.8,1.1573677030223544,8,3,31,-0.0604960677555999
2017-08-10,46.78,49.56,49.59,47.12,42.53,51.36,48.67,46.538333333333334,48.556538461538466,1.3187114923284915,8,3,32,-5.609362389023409
2017-08-17,48.41,46.78,49.56,48.75,44.74,48.32,48.584999999999994,46.54583333333333,48.35730769230769,1.3227874608817192,8,3,33,3.48439504061564
2017-08-24,45.96,48.41,46.78,49.59,45.13,45.72,47.6775,46.56583333333333,48.05461538461539,1.6161347922329743,8,3,34,-5.0609378227638775
2017-08-31,49.16,45.96,48.41,49.56,45.49,44.73,47.57749999999999,46.934999999999995,48.01153846153846,1.4662508880358487,8,3,35,6.962576153176658
2017-09-07,49.3,49.16,45.96,46.78,47.12,42.53,48.207499999999996,47.49916666666667,48.02846153846154,1.548448147877708,9,3,36,0.2847843775427128
2017-09-14,50.41,49.3,49.16,48.41,48.75,44.74,48.7075,47.971666666666664,48.11961538461538,1.9151218412064268,9,3,37,2.2515212981744304
2017-09-21,52.14,50.41,49.3,45.96,49.59,45.13,50.2525,48.55583333333333,48.22076923076923,1.3769864438932913,9,3,38,3.431858758182904
2017-09-28,49.98,52.14,50.41,49.16,49.56,45.49,50.457499999999996,48.93,48.17576923076923,1.2111805535643965,9,3,39,-4.142692750287691
2017-10-05,51.3,49.98,52.14,49.3,46.78,47.12,50.957499999999996,49.27833333333333,48.106153846153845,0.9610541087780787,10,4,40,2.6410564225690214
2017-10-12,52.04,51.3,49.98,50.41,48.41,48.75,51.364999999999995,49.5525,48.167692307692306,0.9964436762804159,10,4,41,1.4424951267056674
2017-10-19,52.18,52.04,51.3,52.14,45.96,49.59,51.375,49.76833333333334,48.26615384615385,1.0069591186666391,10,4,42,0.26902382782474366
2017-10-26,54.3,52.18,52.04,49.98,49.16,49.56,52.455,50.16333333333333,48.51538461538461,1.2891728614370863,10,4,43,4.062859333077795
2017-11-02,56.81,54.3,52.18,51.3,49.3,46.78,53.832499999999996,50.99916666666667,48.879999999999995,2.2381446929691338,11,4,44,4.6224677716390605
2017-11-09,55.33,56.81,54.3,52.04,50.41,48.41,54.655,51.57583333333334,49.120769230769234,1.9451906504674312,11,4,45,-2.605175145220917
2017-11-16,58.02,55.33,56.81,52.18,52.14,45.96,56.115,52.58083333333334,49.37692307692308,1.6352879461018288,11,4,46,4.861738658955361
2017-11-23,57.3,58.02,55.33,54.3,49.98,49.16,56.865,53.259166666666665,49.722307692307695,1.137614463105117,11,4,47,-1.2409513960703333
2017-11-30,55.96,57.3,58.02,56.81,51.3,49.3,56.652499999999996,53.814166666666665,50.11615384615384,1.2271749399872078,11,4,48,-2.338568935427565
2017-12-07,56.6,55.96,57.3,55.33,52.04,50.41,56.97,54.330000000000005,50.5726923076923,0.8885193676369372,12,4,49,1.1436740528949274
2017-12-14,58.09,56.6,55.96,58.02,52.18,52.14,56.9875,54.82583333333333,51.17115384615385,0.9163469139283135,12,4,50,2.6325088339222757
2017-12-21,59.64,58.09,56.6,57.3,54.3,49.98,57.572500000000005,55.63083333333333,51.74423076923077,1.6419779738674776,12,4,51,2.668273368910312
2017-12-28,61.63,59.64,58.09,55.96,56.81,51.3,58.99,56.491666666666674,52.37884615384616,2.1536171123637446,12,4,52,3.3366867873910078
2018-01-04,63.57,61.63,59.64,56.6,55.33,52.04,60.7325,57.45249999999999,53.07423076923077,2.3828047199325035,1,1,1,3.147817621288329
2018-01-11,63.97,63.57,61.63,58.09,58.02,52.18,62.2025,58.435,53.722307692307695,1.9906678108947795,1,1,2,0.6292276230926541
2018-01-18,65.61,63.97,63.57,59.64,57.3,54.3,63.695,59.377500000000005,54.37076923076923,1.635308329744766,1,1,3,2.5637017351883618
2018-01-25,64.73,65.61,63.97,61.63,55.96,56.81,64.47,60.0375,54.95307692307692,0.8994813320274967,1,1,4,-1.341258954427671
2018-02-01,61.79,64.73,65.61,63.57,56.6,55.33,64.025,60.57583333333334,55.42346153846154,1.6337584480779133,2,1,5,-4.541943457438602
2018-02-08,60.6,61.79,64.73,63.97,58.09,58.02,63.182500000000005,60.79083333333333,55.955,2.3731747372101775,2,1,6,-1.925877973782164
2018-02-15,61.68,60.6,61.79,65.61,59.64,57.3,62.2,61.155833333333334,56.46538461538462,1.770065912143548,2,1,7,1.7821782178217838
2018-02-22,61.64,61.68,60.6,64.73,61.63,55.96,61.427499999999995,61.62916666666666,57.068461538461534,0.555300219100026,2,1,8,-0.06485084306095956
2018-03-01,61.15,61.64,61.68,61.79,63.57,56.6,61.2675,62.008333333333326,57.52961538461538,0.5060550035973019,3,1,9,-0.7949383517196651
2018-03-08,60.96,61.15,61.64,60.6,63.97,58.09,61.3575,62.2475,57.97807692307693,0.3581782610179881,3,1,10,-0.3107113654946869
2018-03-15,65.17,60.96,61.15,61.68,65.61,59.64,62.23,62.708333333333336,58.54576923076923,1.9808247440563485,3,1,11,6.906167979002631
2018-03-22,64.38,65.17,60.96,61.64,64.73,61.63,62.915,62.9375,59.01653846153847,2.173208074099803,3,1,12,-1.2122142089918797
2018-03-29,63.37,64.38,65.17,61.15,61.79,63.57,63.47,62.92083333333333,59.53153846153846,1.8283143420464067,3,1,13,-1.5688101894998363
2018-04-05,66.82,63.37,64.38,60.96,60.6,63.97,64.935,63.15833333333333,60.12846153846154,1.4566742944115119,4,2,14,5.444216506233235
2018-04-12,68.47,66.82,63.37,65.17,61.68,65.61,65.75999999999999,63.39666666666667,60.760384615384616,2.315469714766162,4,2,15,2.46932056270579
2018-04-19,68.05,68.47,66.82,64.38,61.64,64.73,66.6775,63.673333333333325,61.370769230769234,2.3134876269388855,4,2,16,-0.6134073316781063
